Ord_id,Order_ID,Order_Date,Order_Priority
Ord_1,3,2010-10-13,LOW
Ord_2,293,2012-10-01,HIGH
Ord_3,483,2011-07-10,HIGH
Ord_4,515,2010-08-28,NOT SPECIFIED
Ord_5,613,2011-06-17,HIGH
Ord_6,643,2011-03-24,HIGH
Ord_7,678,2010-02-26,LOW
Ord_8,807,2010-11-23,MEDIUM
Ord_9,868,2012-06-08,NOT SPECIFIED
Ord_10,933,2012-08-04,NOT SPECIFIED
Ord_11,995,2011-05-30,MEDIUM
Ord_12,998,2009-11-25,NOT SPECIFIED
Ord_13,1154,2012-02-14,CRITICAL
Ord_14,1344,2012-04-15,LOW
Ord_15,1412,2010-03-12,NOT SPECIFIED
Ord_16,1539,2011-03-09,LOW
Ord_17,1540,2012-08-04,HIGH
Ord_18,1702,2011-05-06,HIGH
Ord_19,1761,2010-12-23,HIGH
Ord_20,1792,2010-11-08,LOW
Ord_21,2275,2012-10-21,NOT SPECIFIED
Ord_22,2277,2011-01-01,NOT SPECIFIED
Ord_23,2532,2011-10-10,HIGH
Ord_24,2631,2010-09-23,LOW
Ord_25,2757,2011-07-19,CRITICAL
Ord_26,2791,2009-10-09,HIGH
Ord_27,2976,2010-12-09,NOT SPECIFIED
Ord_28,3232,2012-10-08,CRITICAL
Ord_29,3524,2012-05-02,HIGH
Ord_30,3908,2010-03-08,MEDIUM
Ord_31,4132,2011-05-28,NOT SPECIFIED
Ord_32,4612,2010-09-19,MEDIUM
Ord_33,4676,2011-08-31,HIGH
Ord_34,5284,2011-07-08,NOT SPECIFIED
Ord_35,5316,2009-01-30,CRITICAL
Ord_36,5409,2012-01-08,LOW
Ord_37,5506,2010-11-07,CRITICAL
Ord_38,5569,2010-04-29,NOT SPECIFIED
Ord_39,5607,2011-12-31,NOT SPECIFIED
Ord_40,5894,2009-08-12,HIGH
Ord_41,5925,2011-11-12,LOW
Ord_42,6016,2012-01-20,HIGH
Ord_43,6116,2009-03-20,MEDIUM
Ord_44,6182,2012-07-21,LOW
Ord_45,6535,2012-06-12,CRITICAL
Ord_46,6884,2009-01-15,LOW
Ord_47,6916,2010-06-04,LOW
Ord_48,6980,2010-02-18,NOT SPECIFIED
Ord_49,6982,2011-11-16,NOT SPECIFIED
Ord_50,7110,2011-08-07,LOW
Ord_51,7430,2010-06-08,MEDIUM
Ord_52,7906,2009-10-17,MEDIUM
Ord_53,8391,2011-08-28,HIGH
Ord_54,8419,2011-09-29,CRITICAL
Ord_55,8833,2012-05-04,LOW
Ord_56,8995,2011-05-17,HIGH
Ord_57,9126,2009-11-17,MEDIUM
Ord_58,9127,2011-10-10,NOT SPECIFIED
Ord_59,9509,2012-10-07,NOT SPECIFIED
Ord_60,9763,2011-08-13,MEDIUM
Ord_61,9927,2011-08-16,HIGH
Ord_62,10022,2009-03-04,LOW
Ord_63,10437,2009-08-18,CRITICAL
Ord_64,10499,2010-11-16,NOT SPECIFIED
Ord_65,10535,2011-05-27,LOW
Ord_66,10789,2010-08-23,NOT SPECIFIED
Ord_67,10791,2011-08-19,NOT SPECIFIED
Ord_68,10945,2012-01-03,MEDIUM
Ord_69,11137,2012-11-29,HIGH
Ord_70,11202,2012-03-17,MEDIUM
Ord_71,11456,2010-04-12,LOW
Ord_72,11460,2010-08-24,HIGH
Ord_73,11495,2011-07-04,HIGH
Ord_74,11911,2010-11-10,CRITICAL
Ord_75,11941,2010-06-24,CRITICAL
Ord_76,12096,2012-09-19,MEDIUM
Ord_77,12289,2011-12-24,LOW
Ord_78,12352,2012-03-23,MEDIUM
Ord_79,12419,2011-10-15,CRITICAL
Ord_80,12485,2010-08-07,CRITICAL
Ord_81,12544,2009-03-03,LOW
Ord_82,12704,2010-02-09,LOW
Ord_83,12771,2009-01-17,CRITICAL
Ord_84,12929,2010-08-30,CRITICAL
Ord_85,13280,2009-09-11,HIGH
Ord_86,13313,2009-07-16,NOT SPECIFIED
Ord_87,13346,2012-11-15,LOW
Ord_88,13702,2011-09-10,LOW
Ord_89,13795,2011-04-10,NOT SPECIFIED
Ord_90,14116,2011-10-09,HIGH
Ord_91,14372,2012-10-23,CRITICAL
Ord_92,14726,2012-01-08,LOW
Ord_93,14819,2010-01-25,NOT SPECIFIED
Ord_94,15106,2011-01-27,NOT SPECIFIED
Ord_95,15108,2009-08-27,HIGH
Ord_96,15205,2011-03-17,CRITICAL
Ord_97,15591,2012-06-06,CRITICAL
